,toggle_id_user,toggle_fam_level,toggle_font,toggle_grayscale,toggle_stroke_contrast,toggle_weight,toggle_avg_ascender_length,toggle_avg_descender_length,toggle_avg_char_width_lower,toggle_lower_width_sd,toggle_lower_char_space,toggle_lower_x_height,pre_age,pre_reading_speed,pre_reading_frequency,outcome
69,3041,2,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,40,3,5,0
70,3041,3,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,40,3,5,0
71,3041,2,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,40,3,5,0
72,3031,4,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,53,6,5,0
73,3031,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,53,6,5,0
74,3031,2,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,53,6,5,0
75,3031,4,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,53,6,5,1
76,3031,1,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,53,6,5,0
77,3031,1,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,53,6,5,1
78,3031,4,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,53,6,5,0
79,3031,1,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,53,6,5,0
80,3033,2,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,49,4,6,1
81,3033,4,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,49,4,6,1
82,3033,1,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,49,4,6,1
83,3033,2,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,49,4,6,1
84,3033,2,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,49,4,6,1
85,3033,2,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,49,4,6,1
86,3033,2,merriweather,0.3880417335473515,0.596,0.273,4.307,4.196,8.252,2.468,0.792,8.88,49,4,6,0
87,3054,3,times,0.4574468085106383,0.49,0.133,3.786,3.598,6.797,1.862,0.533,7.195,38,7,8,0
88,3054,3,arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,38,7,8,1
89,3054,3,roboto,0.4470649895178197,0.039,0.192,3.626,3.428,6.539,2.227,1.446,8.453,38,7,8,0
90,3054,4,open_sans,0.3865265169612996,0.11,0.172,3.66,3.961,6.826,2.347,1.552,8.563,38,7,8,0
91,3054,2,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703,38,7,8,0
92,3054,4,poppins,0.4358974358974359,0.158,0.172,3.184,4.3,7.46,2.791,1.528,8.768,38,7,8,0
93,3054,3,source_serif_pro,0.4411458333333333,0.266,0.134,4.32,4.02,7.444,2.074,0.705,7.6,38,7,8,0
