pre_age,pre_language_native,pre_language_other,pre_education_level,pre_reading_speed,pre_id_user,post_do_you_feel_changing_font_attributes_such_as_size_character_spacing_word_spacing_etc_could_help_you_read_faster_,post_would_you_like_an_application_to_change_font_attributes_such_as_size_character_spacing_word_spacing_etc_for_reading_if_you_had_the_choice_,pre_reading_frequency,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.maybe,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.no,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.yes
45,1,1,1,6,3922,6,7,7,0,0,1
55,1,0,5,6,3923,5,6,8,0,0,1
31,0,1,4,5,3976,7,6,5,1,0,0
27,1,0,5,7,3962,7,6,7,0,0,1
30,1,0,1,4,3978,6,7,4,0,0,1
42,1,0,4,3,3993,5,6,7,1,0,0
23,1,1,4,7,3995,7,7,8,0,0,1
43,1,0,2,6,3997,7,7,6,1,0,0
38,1,0,1,5,4011,6,5,8,1,0,0
61,1,0,5,6,4013,6,4,7,0,0,1
25,1,0,4,7,4012,6,7,7,0,0,1
26,1,0,4,5,4014,7,6,7,1,0,0
37,1,0,2,5,4022,5,6,7,1,0,0
25,1,0,4,6,4026,7,6,7,0,0,1
27,1,1,4,5,4034,5,6,5,0,0,1
39,1,0,4,6,4035,6,6,8,0,0,1
24,1,0,5,4,4043,7,7,8,0,0,1
25,0,0,5,4,4054,6,6,8,0,0,1
33,1,0,4,6,4051,6,6,8,1,0,0
46,1,0,5,5,4055,6,7,6,0,0,1
25,1,0,4,5,4063,6,6,6,0,0,1
25,1,0,4,6,4056,6,5,3,0,0,1
24,0,1,4,5,4064,7,7,8,0,0,1
25,1,1,4,6,4065,5,7,8,1,0,0
31,1,1,3,6,4066,7,7,6,0,0,1
24,1,1,4,7,4070,7,7,8,0,0,1
25,1,0,4,5,4072,6,6,4,0,0,1
43,1,0,1,6,4076,5,3,8,1,0,0
37,1,1,4,6,4077,7,6,7,0,0,1
32,1,0,4,5,4082,5,6,6,1,0,0
32,1,0,4,5,4083,4,6,4,0,0,1
34,1,1,4,6,4090,5,6,6,0,0,1
18,1,0,1,7,4092,6,7,7,0,0,1
24,1,1,5,7,4096,7,7,8,0,0,1
24,1,1,5,7,4097,7,6,8,0,0,1
24,1,1,5,7,4095,7,6,8,0,0,1
24,1,1,5,7,4100,7,6,8,0,0,1
33,1,1,4,6,4111,3,4,5,1,0,0
