in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
1,2,121,times,26,3,1,1,2
1,2,123,times,21,3,1,2,4
1,2,123,times,27,3,1,1,3
1,2,124,times,20,3,1,3,3
1,2,124,times,21,3,1,1,3
0,2,125,times,19,2,1,1,2
0,0,125,times,27,2,1,1,2
1,0,126,times,22,3,0.5,2,2
1,2,126,times,27,3,1,1,2
1,2,127,times,23,2,0.5,2,3
1,2,127,times,28,2,1,3,3
1,2,128,times,20,2,1,2,4
1,2,128,times,24,2,1,1,2
1,1,129,times,24,3,0.5,1,5
1,2,129,times,28,3,1,1,3
1,2,130,times,21,3,0.5,1,4
1,2,130,times,28,3,1,1,3
0,2,131,times,27,3,0,1,1
0,0,131,times,28,3,1,1,3
1,0,132,times,22,3,1,3,4
1,2,132,times,25,3,1,1,2
1,2,134,times,24,2,1,1,2
1,2,134,times,28,2,1,1,3
0,2,135,times,23,2,1,1,4
0,0,135,times,28,2,1,2,4
1,0,136,times,22,3,1,3,4
1,2,136,times,28,3,1,1,2
1,2,138,times,25,3,1,2,2
1,2,138,times,26,3,1,1,3
1,2,138,times,28,3,1,1,4
1,2,141,times,25,3,1,1,2
1,2,141,times,27,3,1,1,1
0,2,142,times,19,2,0.5,2,1
0,0,142,times,20,2,1,3,1
1,0,144,times,22,2,1,1,3
1,2,144,times,26,2,1,1,3
1,2,145,times,19,3,1,1,2
1,2,145,times,21,3,0.5,2,3
1,2,147,times,19,2,1,1,2
1,2,147,times,20,2,1,1,4
1,2,148,times,23,2,1,1,2
1,2,148,times,25,2,1,1,1
1,1,149,times,20,3,1,3,5
1,2,149,times,22,3,1,4,4
1,2,150,times,26,2,1,1,2
1,2,150,times,28,2,1,1,2
1,2,151,times,25,1,1,1,3
1,2,151,times,26,1,1,2,3
0,2,152,times,23,2,1,1,3
0,0,152,times,24,2,1,2,3
0,0,152,times,28,2,1,1,2
1,0,153,times,19,2,1,2,2
1,2,153,times,23,2,1,1,3
1,2,157,times,24,1,1,2,3
1,2,157,times,25,1,0.5,1,4
1,2,158,times,19,3,1,2,2
1,2,158,times,20,3,0.5,4,4
1,2,158,times,24,3,1,1,2
1,2,159,times,22,2,1,3,3
1,2,159,times,28,2,1,2,4
0,2,160,times,19,3,1,1,3
0,0,160,times,22,3,1,2,3
0,0,160,times,26,3,1,1,3
0,0,160,times,28,3,1,1,3
0,0,161,times,19,1,1,2,2
0,0,161,times,24,1,0.5,3,2
0,0,162,times,19,3,1,2,2
0,0,162,times,21,3,0.5,1,1
0,0,162,times,23,3,1,3,2
0,0,162,times,26,3,1,1,2
1,0,164,times,25,2,1,1,3
1,2,164,times,28,2,1,1,3
1,2,165,times,24,3,1,1,2
1,2,165,times,28,3,1,1,2
1,2,167,times,19,3,0.5,1,1
1,2,167,times,23,3,1,1,3
1,2,167,times,27,3,1,1,1
0,2,168,times,21,1,1,2,4
0,0,168,times,24,1,1,1,1
1,0,170,times,22,3,1,4,4
1,2,170,times,24,3,1,1,3
1,2,172,times,20,2,1,4,5
1,2,172,times,23,2,1,1,4
1,2,173,times,23,3,1,1,3
1,2,173,times,26,3,1,1,1
1,2,174,times,19,3,1,3,3
1,2,174,times,20,3,0.5,3,3
1,2,174,times,22,3,1,4,4
1,2,174,times,24,3,1,3,3
1,2,177,times,26,3,1,1,4
1,2,179,times,27,3,1,1,3
1,2,179,times,28,3,1,1,3
1,2,180,times,20,3,1,4,5
1,2,180,times,22,3,1,3,3
1,2,180,times,24,3,1,2,3
1,2,180,times,25,3,1,4,5
0,2,181,times,24,3,1,5,4
0,0,181,times,26,3,1,5,5
1,0,183,times,19,3,1,1,3
1,2,183,times,24,3,1,1,4
0,2,184,times,21,2,1,1,3
0,0,184,times,24,2,1,1,4
0,0,185,times,23,3,1,5,2
0,0,185,times,28,3,1,1,5
1,0,186,times,20,3,1,1,2
1,2,186,times,21,3,1,1,3
1,2,187,times,19,3,1,2,3
1,2,187,times,24,3,1,1,3
0,2,188,times,22,1,0.5,3,3
0,0,188,times,27,1,1,3,4
1,0,189,times,27,2,1,1,2
1,1,189,times,28,2,1,1,3
1,2,190,times,19,3,1,1,4
1,2,190,times,28,3,1,1,3
1,2,192,times,23,2,1,1,2
1,2,192,times,24,2,1,2,2
1,2,192,times,25,2,1,1,1
0,2,196,times,21,2,0,5,4
0,0,196,times,24,2,0,5,3
1,0,198,times,24,3,1,2,3
1,2,198,times,25,3,1,3,5
1,1,198,times,26,3,1,2,2
1,1,200,times,22,3,1,2,3
1,2,200,times,24,3,1,1,2
1,2,200,times,28,3,1,1,2
1,2,201,times,27,3,0.5,1,3
1,2,201,times,28,3,1,1,3
1,2,204,times,21,2,1,1,2
1,2,204,times,23,2,1,3,4
1,2,207,times,19,3,1,1,3
1,2,207,times,21,3,0.5,1,3
1,2,207,times,26,3,1,1,2
1,2,207,times,27,3,1,1,2
1,2,210,times,19,,1,3,5
1,2,210,times,20,,1,4,5
1,1,211,times,20,3,1,3,2
1,2,211,times,22,3,1,4,2
1,2,211,times,24,3,1,1,3
1,2,212,times,24,3,1,1,2
1,2,212,times,25,3,1,1,2
1,2,213,times,24,2,1,1,3
1,2,213,times,28,2,1,1,2
1,2,214,times,20,3,1,2,5
1,1,214,times,28,3,1,1,5
1,2,216,times,24,2,1,1,4
1,2,216,times,27,2,1,1,2
0,2,218,times,19,2,1,1,2
0,0,218,times,24,2,0.5,1,4
1,0,219,times,19,3,1,3,2
1,2,219,times,22,3,1,2,2
1,2,220,times,20,2,1,3,4
1,2,220,times,21,2,1,3,4
1,2,220,times,22,2,1,2,4
1,2,220,times,26,2,1,1,2
0,2,221,times,22,2,1,1,4
0,0,221,times,24,2,1,1,3
1,0,222,times,21,3,1,2,3
1,2,222,times,27,3,1,1,2
1,2,223,times,20,2,1,3,4
1,0,223,times,21,2,1,1,3
1,2,223,times,22,2,1,4,4
1,1,223,times,24,2,0.5,1,3
0,2,225,times,19,,1,1,1
0,0,226,times,22,3,0.5,2,1
0,0,226,times,28,3,1,1,2
1,0,228,times,21,3,0.5,1,3
1,2,228,times,24,3,1,1,3
0,2,229,times,23,2,0.5,1,2
0,0,229,times,28,2,1,1,1
1,0,230,times,23,2,1,2,2
1,2,231,times,27,3,0.5,1,4
1,2,234,times,23,3,1,1,2
1,2,234,times,28,3,1,1,2
1,2,235,times,22,3,1,3,4
1,2,238,times,23,3,1,2,3
1,2,238,times,24,3,0,1,1
0,2,239,times,25,3,1,2,1
0,0,239,times,28,3,1,2,1
1,0,240,times,21,3,1,1,3
1,2,240,times,26,3,1,1,3
0,2,242,times,19,3,0,4,4
0,0,242,times,23,3,0,4,4
1,0,243,times,21,2,1,2,3
1,2,243,times,26,2,1,1,2
0,2,245,times,19,3,0.5,1,4
0,0,245,times,25,3,1,1,3
1,0,246,times,24,2,1,1,1
1,2,246,times,26,2,1,1,1
1,2,246,times,28,2,1,1,1
1,2,247,times,24,2,1,1,3
1,2,247,times,27,2,1,1,3
1,2,248,times,21,2,0.5,3,4
1,2,248,times,27,2,1,2,4
1,2,249,times,24,3,1,2,3
1,2,249,times,27,3,1,1,1
1,2,250,times,19,2,1,1,2
1,2,250,times,23,2,0.5,1,1
1,2,251,times,26,2,1,1,2
1,2,251,times,28,2,1,1,3
1,2,252,times,24,2,0.5,1,5
1,2,252,times,25,2,0,1,2
1,2,254,times,25,2,1,2,2
1,2,254,times,28,2,1,1,3
1,2,255,times,27,3,1,1,2
1,2,255,times,28,3,1,1,1
0,2,256,times,24,3,1,1,3
0,0,256,times,26,3,1,1,2
1,0,257,times,21,3,1,3,4
1,2,257,times,26,3,1,1,3
1,2,258,times,21,3,1,1,3
1,2,258,times,22,3,1,2,3
