id_user,font,elo,font_rank
3595,arial,1429.0155756583752,6
3598,arial,1527.3409348710563,4
3600,arial,1454.2812008419057,6
3602,arial,1452.7376670718213,7
3610,arial,1442.2337301862262,7
3604,arial,1476.8458107786616,4
3615,arial,1510.7629692871046,5
3614,arial,1440.4003882534041,6
3596,arial,1487.6913306216697,5
3613,arial,1448.6745744355571,6
3611,arial,1568.3637501644291,3
3616,arial,1490.3530053825186,4
3620,arial,1498.245964192711,5
3606,arial,1454.8816531299674,6
3618,arial,1543.1409832291442,4
3622,arial,1564.6836122390805,3
3619,arial,1483.8258052029119,4
3626,arial,1443.4507273100942,6
3630,arial,1374.5171027033211,8
3628,arial,1495.228019288921,5
3633,arial,1474.1971110837299,6
3632,arial,1491.2175817459693,4
3636,arial,1431.9196198415787,8
3646,arial,1488.078311763979,5
3642,arial,1489.9298142673563,4
3648,arial,1486.6586330975408,6
3643,arial,1400.5719882964304,7
3647,arial,1361.4641579073027,8
3645,arial,1412.9055530696587,6
3625,arial,1480.660998903994,4
3652,arial,1456.6528055132485,4
3641,arial,1492.2885704493192,5
3650,arial,1534.8385310901176,4
3653,arial,1537.7419179262272,4
3657,arial,1491.0547116547107,4
3661,arial,1531.449005743394,5
3662,arial,1523.3333121751587,4
3656,arial,1442.5947176349428,6
3644,arial,1425.9166924249894,7
3664,arial,1373.1623851478012,8
3658,arial,1349.0093094853207,8
3665,arial,1355.4914908527007,8
3666,arial,1366.12653649589,7
3669,arial,1436.9912600341029,6
3663,arial,1563.0787335209086,4
3676,arial,1582.5654087158516,4
3673,arial,1581.3980885751935,3
3671,arial,1579.0164419564005,3
3681,arial,1536.1254261819377,4
3685,arial,1503.5518105129477,5
3682,arial,1515.24476252494,4
3688,arial,1561.3823105730037,4
3683,arial,1536.3904761877805,3
3690,arial,1466.1645762559597,5
3689,arial,1492.4613342355744,6
3695,arial,1432.2836275527789,7
3696,arial,1503.2082288818626,4
3697,arial,1537.2506029894614,3
3704,arial,1488.5524900317505,5
3705,arial,1456.2027671963556,7
3706,arial,1520.5167591847608,4
3707,arial,1511.8041992876304,3
3712,arial,1482.1081526845903,4
