,url,font,file_name
0,https://readability-test.org/fonts_spacing_study.html?0?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,-3909895312278653473
1,https://readability-test.org/fonts_spacing_study.html?1?roboto?14.801447px?1pt?1pt?1.5em?480px,roboto,7521174179815850848
2,https://readability-test.org/fonts_spacing_study.html?2?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,-3788738959850826406
3,https://readability-test.org/fonts_spacing_study.html?3?montserrat?13.688213px?1pt?1pt?1.5em?480px,montserrat,-2876624850334645278
4,https://readability-test.org/fonts_spacing_study.html?4?lato?14.910544px?1pt?1pt?1.5em?480px,lato,-133767206320306665
5,https://readability-test.org/fonts_spacing_study.html?5?calibri?16px?1pt?1pt?1.5em?480px,calibri,606909565570172918
6,https://readability-test.org/fonts_spacing_study.html?6?avantgarde?14.29299px?1pt?1pt?1.5em?480px,avantgarde,2154771445803537691
7,https://readability-test.org/fonts_spacing_study.html?7?noto_sans?14.507869px?1pt?1pt?1.5em?480px,noto_sans,-6163943322842307443
8,https://readability-test.org/fonts_spacing_study.html?8?utopia?15.250897px?1pt?1pt?1.5em?480px,utopia,-2958088219732910008
9,https://readability-test.org/fonts_spacing_study.html?-1?franklin_gothic?16px?1pt?1pt?1.5em?480px,franklin_gothic,8523459565287413691
10,https://readability-test.org/fonts_spacing_study.html?0?open_sans?14.516127px?1pt?1pt?1.5em?480px,open_sans,-6820894464026082860
11,https://readability-test.org/fonts_spacing_study.html?1?avantgarde?14.29299px?1pt?1pt?1.5em?480px,avantgarde,1952054347673702150
12,https://readability-test.org/fonts_spacing_study.html?2?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,-1048596022626284946
13,https://readability-test.org/fonts_spacing_study.html?3?roboto?14.801447px?1pt?1pt?1.5em?480px,roboto,-1692246978184679682
14,https://readability-test.org/fonts_spacing_study.html?4?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,-4566019885790060684
15,https://readability-test.org/fonts_spacing_study.html?5?helvetica?14.936339px?1pt?1pt?1.5em?480px,helvetica,268614071309554627
16,https://readability-test.org/fonts_spacing_study.html?6?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,4632897856301300737
17,https://readability-test.org/fonts_spacing_study.html?7?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,8541384226259422639
